ICD10Code,CCSRCategory,Infection,BacterialInfection,Focus
A000,DIG001,TRUE,TRUE,Abdominal
A001,DIG001,TRUE,TRUE,Abdominal
A009,DIG001,TRUE,TRUE,Abdominal
A010,DIG001; NVS001; INF003; RSP002; MUS001; MUS002,TRUE,TRUE,"Abdominal; CNS; Unspecific; Respiratory; Skin, soft tissue, orthopedic"
A011,DIG001,TRUE,TRUE,Abdominal
A012,DIG001,TRUE,TRUE,Abdominal
A013,DIG001,TRUE,TRUE,Abdominal
A014,DIG001,TRUE,TRUE,Abdominal
A020,DIG001,TRUE,TRUE,Abdominal
A021,INF002,TRUE,TRUE,Unspecific
A022,INF003; NVS001; RSP002; MUS001; MUS002; GEN004; DIG001,TRUE,TRUE,"Unspecific; CNS; Respiratory; Skin, soft tissue, orthopedic; Urinary; Abdominal"
A028,INF003,TRUE,TRUE,Unspecific
A029,DIG001,TRUE,TRUE,Abdominal
A030,DIG001,TRUE,TRUE,Abdominal
A031,DIG001,TRUE,TRUE,Abdominal
A032,DIG001,TRUE,TRUE,Abdominal
A033,DIG001,TRUE,TRUE,Abdominal
A038,DIG001,TRUE,TRUE,Abdominal
A039,DIG001,TRUE,TRUE,Abdominal
A040,DIG001,TRUE,TRUE,Abdominal
A041,DIG001,TRUE,TRUE,Abdominal
A042,DIG001,TRUE,TRUE,Abdominal
A043,DIG001,TRUE,TRUE,Abdominal
A044,DIG001,TRUE,TRUE,Abdominal
A045,DIG001,TRUE,TRUE,Abdominal
A046,DIG001,TRUE,TRUE,Abdominal
A047,DIG001,TRUE,TRUE,Abdominal
A048,DIG001,TRUE,TRUE,Abdominal
A049,DIG001,TRUE,TRUE,Abdominal
A050,INF005,TRUE,FALSE,"NA"
A051,INF005,TRUE,FALSE,"NA"
A052,INF005,TRUE,FALSE,"NA"
A053,INF005,TRUE,FALSE,"NA"
A054,INF005,TRUE,FALSE,"NA"
A055,INF005,TRUE,FALSE,"NA"
A058,INF005,TRUE,FALSE,"NA"
A059,INF005,TRUE,FALSE,"NA"
A060,DIG001,TRUE,TRUE,Abdominal
A061,DIG001,TRUE,TRUE,Abdominal
A062,DIG001,TRUE,TRUE,Abdominal
A063,DIG001,TRUE,TRUE,Abdominal
A064,DIG001,TRUE,TRUE,Abdominal
A065,RSP016,FALSE,FALSE,"NA"
A066,NVS014,TRUE,TRUE,CNS
A067,INF009,TRUE,FALSE,"NA"
A068,INF009,TRUE,FALSE,"NA"
A069,DIG001,TRUE,TRUE,Abdominal
A070,DIG001,TRUE,TRUE,Abdominal
A071,DIG001,TRUE,TRUE,Abdominal
A072,DIG001,TRUE,TRUE,Abdominal
A073,DIG001,TRUE,TRUE,Abdominal
A074,DIG001,TRUE,TRUE,Abdominal
A078,DIG001,TRUE,TRUE,Abdominal
A079,DIG001,TRUE,TRUE,Abdominal
A080,DIG001,TRUE,TRUE,Abdominal
A081,DIG001,TRUE,TRUE,Abdominal
A082,DIG001,TRUE,TRUE,Abdominal
A083,DIG001,TRUE,TRUE,Abdominal
A084,DIG001,TRUE,TRUE,Abdominal
A088,DIG001,TRUE,TRUE,Abdominal
A09,DIG001,TRUE,TRUE,Abdominal
A150,INF001,TRUE,FALSE,"NA"
A154,INF001,TRUE,FALSE,"NA"
A155,INF001,TRUE,FALSE,"NA"
A156,INF001,TRUE,FALSE,"NA"
A157,INF001,TRUE,FALSE,"NA"
A158,INF001,TRUE,FALSE,"NA"
A159,INF001,TRUE,FALSE,"NA"
A170,INF001,TRUE,FALSE,"NA"
A171,INF001,TRUE,FALSE,"NA"
A178,INF001,TRUE,FALSE,"NA"
A179,INF001,TRUE,FALSE,"NA"
A180,INF001,TRUE,FALSE,"NA"
A181,INF001,TRUE,FALSE,"NA"
A182,INF001,TRUE,FALSE,"NA"
A183,INF001; DIG001,TRUE,FALSE; TRUE,NA; Abdominal
A184,INF001,TRUE,FALSE,"NA"
A185,INF001,TRUE,FALSE,"NA"
A186,INF001,TRUE,FALSE,"NA"
A187,INF001,TRUE,FALSE,"NA"
A188,INF001,TRUE,FALSE,"NA"
A190,INF001,TRUE,FALSE,"NA"
A191,INF001,TRUE,FALSE,"NA"
A192,INF001,TRUE,FALSE,"NA"
A198,INF001,TRUE,FALSE,"NA"
A199,INF001,TRUE,FALSE,"NA"
A200,INF003,TRUE,TRUE,Unspecific
A201,SKN001,TRUE,TRUE,"Skin, soft tissue, orthopedic"
A202,RSP002,TRUE,TRUE,Respiratory
A203,NVS001,TRUE,TRUE,CNS
A207,INF002,TRUE,TRUE,Unspecific
A208,INF003,TRUE,TRUE,Unspecific
A209,INF003,TRUE,TRUE,Unspecific
A210,SKN001,TRUE,TRUE,"Skin, soft tissue, orthopedic"
A211,EYE012,FALSE,FALSE,"NA"
A212,RSP002,TRUE,TRUE,Respiratory
A213,DIG001,TRUE,TRUE,Abdominal
A217,INF003,TRUE,TRUE,Unspecific
A218,INF003,TRUE,TRUE,Unspecific
A219,INF003,TRUE,TRUE,Unspecific
A220,SKN001,TRUE,TRUE,"Skin, soft tissue, orthopedic"
A221,RSP002,TRUE,TRUE,Respiratory
A222,DIG001,TRUE,TRUE,Abdominal
A227,INF002,TRUE,TRUE,Unspecific
A228,INF003,TRUE,TRUE,Unspecific
A229,INF003,TRUE,TRUE,Unspecific
A230,INF003,TRUE,TRUE,Unspecific
A231,INF003,TRUE,TRUE,Unspecific
A232,INF003,TRUE,TRUE,Unspecific
A233,INF003,TRUE,TRUE,Unspecific
A238,INF003,TRUE,TRUE,Unspecific
A239,INF003,TRUE,TRUE,Unspecific
A240,INF003,TRUE,TRUE,Unspecific
A241,INF003,TRUE,TRUE,Unspecific
A242,INF003,TRUE,TRUE,Unspecific
A243,INF003,TRUE,TRUE,Unspecific
A249,INF003,TRUE,TRUE,Unspecific
A250,INF003,TRUE,TRUE,Unspecific
A251,INF003,TRUE,TRUE,Unspecific
A259,INF003,TRUE,TRUE,Unspecific
A260,INF003,TRUE,TRUE,Unspecific
A267,INF002,TRUE,TRUE,Unspecific
A268,INF003,TRUE,TRUE,Unspecific
A269,INF003,TRUE,TRUE,Unspecific
A270,INF003,TRUE,TRUE,Unspecific
A278,NVS001; INF003,TRUE,TRUE,CNS; Unspecific
A279,INF003,TRUE,TRUE,Unspecific
A280,INF003,TRUE,TRUE,Unspecific
A281,INF003,TRUE,TRUE,Unspecific
A282,INF003,TRUE,TRUE,Unspecific
A288,INF003,TRUE,TRUE,Unspecific
A289,INF003,TRUE,TRUE,Unspecific
A300,INF003,TRUE,TRUE,Unspecific
A301,INF003,TRUE,TRUE,Unspecific
A302,INF003,TRUE,TRUE,Unspecific
A303,INF003,TRUE,TRUE,Unspecific
A304,INF003,TRUE,TRUE,Unspecific
A305,INF003,TRUE,TRUE,Unspecific
A308,INF003,TRUE,TRUE,Unspecific
A309,INF003,TRUE,TRUE,Unspecific
A310,RSP002,TRUE,TRUE,Respiratory
A311,SKN001,TRUE,TRUE,"Skin, soft tissue, orthopedic"
A312,INF003,TRUE,TRUE,Unspecific
A318,INF003,TRUE,TRUE,Unspecific
A319,INF003,TRUE,TRUE,Unspecific
A320,INF003,TRUE,TRUE,Unspecific
A321,NVS001; NVS002,TRUE,TRUE; FALSE,CNS; NA
A327,INF002,TRUE,TRUE,Unspecific
A328,INF003; CIR004,TRUE,TRUE,Unspecific; Other
A329,INF003,TRUE,TRUE,Unspecific
A33,PNL009,TRUE,TRUE,Other
A34,PRG023,FALSE,FALSE,"NA"
A35,INF003,TRUE,TRUE,Unspecific
A360,RSP006,TRUE,TRUE,Respiratory
A361,RSP006,TRUE,TRUE,Respiratory
A362,RSP006,TRUE,TRUE,Respiratory
A363,SKN001,TRUE,TRUE,"Skin, soft tissue, orthopedic"
A368,CIR005; INF003; NVS015; GEN001; GEN004; EYE001,TRUE; FALSE,FALSE; TRUE,NA; Unspecific; Urinary
A369,INF003,TRUE,TRUE,Unspecific
A370,INF003,TRUE,TRUE,Unspecific
A371,INF003,TRUE,TRUE,Unspecific
A378,INF003,TRUE,TRUE,Unspecific
A379,INF003; RSP002,TRUE,TRUE,Unspecific; Respiratory
A380,EAR001,TRUE,TRUE,Respiratory
A381,CIR005,TRUE,FALSE,"NA"
A388,INF003,TRUE,TRUE,Unspecific
A389,INF003,TRUE,TRUE,Unspecific
A390,NVS001,TRUE,TRUE,CNS
A391,END015,FALSE,FALSE,"NA"
A392,INF002,TRUE,TRUE,Unspecific
A393,INF002,TRUE,TRUE,Unspecific
A394,INF002,TRUE,TRUE,Unspecific
A395,CIR005; CIR004; CIR006,TRUE,FALSE; TRUE,NA; Other
A398,NVS002; EYE006; MUS001; MUS008; INF003,TRUE; FALSE,FALSE; TRUE,"NA; Skin, soft tissue, orthopedic; Unspecific"
A399,INF003,TRUE,TRUE,Unspecific
A400,INF002,TRUE,TRUE,Unspecific
A401,INF002,TRUE,TRUE,Unspecific
A403,INF002,TRUE,TRUE,Unspecific
A408,INF002,TRUE,TRUE,Unspecific
A409,INF002,TRUE,TRUE,Unspecific
A410,INF002,TRUE,TRUE,Unspecific
A411,INF002,TRUE,TRUE,Unspecific
A412,INF002,TRUE,TRUE,Unspecific
A413,INF002,TRUE,TRUE,Unspecific
A414,INF002,TRUE,TRUE,Unspecific
A415,INF002,TRUE,TRUE,Unspecific
A418,INF002,TRUE,TRUE,Unspecific
A419,INF002,TRUE,TRUE,Unspecific
A420,INF003,TRUE,TRUE,Unspecific
A421,INF003,TRUE,TRUE,Unspecific
A422,INF003,TRUE,TRUE,Unspecific
A427,INF002,TRUE,TRUE,Unspecific
A428,NVS001; NVS002; INF003,TRUE,TRUE; FALSE,CNS; NA; Unspecific
